label,name,admin1,country,country_code,latitude,longitude,timezone,elevation
"Base Aérea de Manaus, Amazonas (BR)",Base Aérea de Manaus,Amazonas,Brasil,BR,-3.14604,-59.9863,America/Manaus,81.0
"Belo Horizonte, Alagoas (BR)",Belo Horizonte,Alagoas,Brasil,BR,-9.8,-36.33333,America/Maceio,170.0
"Belo Horizonte, Minas Gerais (BR)",Belo Horizonte,Minas Gerais,Brasil,BR,-19.92083,-43.93778,America/Sao_Paulo,888.0
"Belo Horizonte, Sergipe (BR)",Belo Horizonte,Sergipe,Brasil,BR,-9.78333,-37.86667,America/Maceio,288.0
"Belém, Paraíba (BR)",Belém,Paraíba,Brasil,BR,-6.69167,-35.53333,America/Fortaleza,140.0
"Belém, Pará (BR)",Belém,Pará,Brasil,BR,-1.45583,-48.50444,America/Belem,15.0
"Brasília de Minas, Minas Gerais (BR)",Brasília de Minas,Minas Gerais,Brasil,BR,-16.20639,-44.43333,America/Sao_Paulo,728.0
"Brasília, Distrito Federal (BR)",Brasília,Distrito Federal,Brasil,BR,-15.77972,-47.92972,America/Sao_Paulo,1136.0
"Cabedelo, Paraíba (BR)",Cabedelo,Paraíba,Brasil,BR,-6.98111,-34.83389,America/Fortaleza,7.0
"Campina Grande do Sul, Paraná (BR)",Campina Grande do Sul,Paraná,Brasil,BR,-25.30556,-49.05528,America/Sao_Paulo,885.0
"Campina Grande, Amapá (BR)",Campina Grande,Amapá,Brasil,BR,0.17989,-51.12306,America/Belem,8.0
"Campina Grande, Paraíba (BR)",Campina Grande,Paraíba,Brasil,BR,-7.23056,-35.88111,America/Fortaleza,508.0
"Curitiba, Paraná (BR)",Curitiba,Paraná,Brasil,BR,-25.42778,-49.27306,America/Sao_Paulo,924.0
"Curitiba, Rio de Janeiro (BR)",Curitiba,Rio de Janeiro,Brasil,BR,-21.51839,-42.01225,America/Sao_Paulo,304.0
"Fortaleza, Bahia (BR)",Fortaleza,Bahia,Brasil,BR,-9.86667,-40.4,America/Bahia,516.0
"Fortaleza, Ceará (BR)",Fortaleza,Ceará,Brasil,BR,-3.71722,-38.54306,America/Fortaleza,18.0
"Frei Paulo, Sergipe (BR)",Frei Paulo,Sergipe,Brasil,BR,-10.54944,-37.53444,America/Maceio,276.0
"Igarapé Açu, Pará (BR)",Igarapé Açu,Pará,Brasil,BR,-1.12889,-47.62,America/Belem,39.0
"João Pessoa, Paraíba (BR)",João Pessoa,Paraíba,Brasil,BR,-7.115,-34.86306,America/Fortaleza,45.0
"Manaus, Amazonas (BR)",Manaus,Amazonas,Brasil,BR,-3.10194,-60.025,America/Manaus,20.0
"Manaus, Pará (BR)",Manaus,Pará,Brasil,BR,-1.5,-46.18333,America/Belem,16.0
"Monsenhor Gil, Piauí (BR)",Monsenhor Gil,Piauí,Brasil,BR,-5.56417,-42.60778,America/Fortaleza,129.0
"Natal, Rio Grande do Norte (BR)",Natal,Rio Grande do Norte,Brasil,BR,-5.795,-35.20944,America/Fortaleza,32.0
"Porecatu, Paraná (BR)",Porecatu,Paraná,Brasil,BR,-22.75583,-51.37917,America/Sao_Paulo,404.0
"Porto Alegre do Piauí, Piauí (BR)",Porto Alegre do Piauí,Piauí,Brasil,BR,-6.97091,-44.1983,America/Fortaleza,159.0
"Porto Alegre, Rio Grande do Sul (BR)",Porto Alegre,Rio Grande do Sul,Brasil,BR,-30.03283,-51.23019,America/Sao_Paulo,46.0
"Porto, Piauí (BR)",Porto,Piauí,Brasil,BR,-3.89333,-42.71,America/Fortaleza,40.0
"Pôrto Alegre, Maranhão (BR)",Pôrto Alegre,Maranhão,Brasil,BR,-9.75,-46.16667,America/Fortaleza,483.0
"Recife, Bahia (BR)",Recife,Bahia,Brasil,BR,-11.6,-41.9,America/Bahia,784.0
"Recife, Pernambuco (BR)",Recife,Pernambuco,Brasil,BR,-8.05389,-34.88111,America/Recife,8.0
"Rio de Janeiro, Rio de Janeiro (BR)",Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.90642,-43.18223,America/Sao_Paulo,12.0
"Salvador, Bahia (BR)",Salvador,Bahia,Brasil,BR,-12.97563,-38.49096,America/Bahia,4.0
"São Paulo, São Paulo (BR)",São Paulo,São Paulo,Brasil,BR,-23.5475,-46.63611,America/Sao_Paulo,769.0
"Tupandi, Rio Grande do Sul (BR)",Tupandi,Rio Grande do Sul,Brasil,BR,-29.47639,-51.42111,America/Sao_Paulo,87.0
"Uiraúna, Paraíba (BR)",Uiraúna,Paraíba,Brasil,BR,-6.51833,-38.41222,America/Fortaleza,298.0
